Plats: 65.6083430, 21,6990299
Ale 58,0000000, 12,2833330
Alingsås 57,9998496, 12,5000370 
Alvesta 56,8997562, 14,5546493
Aneby  57,8380690, 14,8100784
Arboga Plats: 59,3941870, 15,8396643
Arjeplog Plats: 66,0517686, 17,8916800
Arvidsjaur Plats: 65,5947672, 19,1695024
Arvika Plats: 59,6543555, 12,5916225
Askersund Plats: 58,8799023, 14,9026161

Stockholm Plats: 59,3251172, 18,0710935
Göteborg Plats: 57,7072326, 11,9670171
Malmö Plats: 55,6052931, 13,0001566
Uppsala Plats: 59,8594126, 17,6411200
Västerås Plats: 59,6110992, 16,5463679
Örebro Plats: 59,2747378, 15,2149988
Linköping Plats: 58,4098135, 15,6245252
Helsingborg Plats: 56,0441984, 12,7040684
Norrköping Plats: 58,5909124, 16,1903511
Jönköping Plats: 57,7814709, 14,1627579
Umeå Plats: 63,8256568, 20,2630745
Lund Plats: 55,7029296, 13,1929449
Borås Plats: 57,7210839, 12,9407407
Huddinge Plats: 59,2293827, 17,9748815
Eskilstuna Plats: 59,3717379, 16,5051474
Nacka Plats: 59,3099477, 18,1677049
Gävle Plats: 60,6750132, 17,1467019 
Halmstad Plats: 56,6739826, 12,8574827
Sundsvall Plats: 62,3907552, 17,3071024
Södertälje Location: 59,1964289, 17,6271663
Botkyrka Plats: 59,2034494, 17,8545982
Karlstad Plats: 59,3799132, 13,5029480
Växjö Plats: 56,8787183, 14,8094385
Haninge Plats: 59,0497220, 18,2666670
Kristianstad Plats: 56,0293778, 14,1566859
Kungsbacka Plats: 57,4888563, 12,0787529
Solna Plats: 59,3613670, 18,0013693
Luleå Plats: 65,5831352, 22,1460134
Järfälla Plats: 59,4204736, 17,8285472
Skellefteå Plats: 64,7520185, 20,9593390
Sollentuna Plats: 59,4293164, 17,9500556
Täby Plats: 59,4367400, 18,0561400
Kalmar Plats: 56,6628826, 16,3662382
Mölndal Plats: 57,6564918, 12,0153085
Karlskrona Plats: 56,1621073, 15,5866422
Varberg Plats: 57,1057412, 12,2502949
Östersund Plats: 63,1793655, 14,6357061
Norrtälje Plats: 59,7591735, 18,7037476    
Gotland Plats: 57,4998732, 18,4998927
Falun Plats: 60,6070068, 15,6323059
Trollhättan Plats: 58,2827931, 12,2908612
Örnsköldsvik Plats: 63,2888613, 18,7160209
Uddevalla Plats: 58,3490555, 11,9382855
Nyköping Plats: 58,7544913, 17,0118143
Skövde Plats: 58,3898453, 13,8443792
Borlänge Plats: 60,4856426, 15,4234561
Hässleholm Plats: 56,1579860, 13,7653328
Sundbyberg Plats: 59,3628802, 17,9681359
Tyresö Plats: 59,2390408, 18,3073536
Sigtuna Plats: 59,6165201, 17,7236301
Lidingö Plats: 59,3643845, 18,1331420
Landskrona Plats: 55,8698007, 12,8296734
Upplands Väsby Plats: 59,5171640, 17,9164192
Trelleborg Plats: 55,3759200, 13,1461522
Kungälv Plats: 57,8707862, 11,9788622
Falkenberg Plats: 56,8996865, 12,5345561
Österåker Plats: 59,4935366, 18,4453926
Enköping Plats: 59,6356115, 17,0778560
Värmdö Plats: 59,3000000, 18,5833330
Motala Plats: 58,5420395, 15,0412610
Piteå Plats: 65,3134764, 21,4899394
Ängelholm Plats: 56,2429224, 12,8619375
Lerum Plats: 57,7699471, 12,2689290
Alingsås   57,9998496	12,500037
Lidköping Plats: 58,5037196, 13,1576427
Vänersborg Plats: 58,3811988, 12,3226877
Sandviken Plats: 60,6194220, 16,7724214
Partille Plats: 57,7394310, 12,1065384
Härryda Plats: 57,6833330, 12,4000000
Hudiksvall Plats: 61,7282737, 17,1047086
Västervik Plats: 57,7594186, 16,6385035
Vellinge Plats: 55,4708950, 13,0199449
Strängnäs Plats: 59,3763155, 17,0268194
Mark Plats: 57,5000000, 12,7166670
Värnamo Plats: 57,1852137, 14,0412173
Katrineholm Plats: 58,9960335, 16,2067589
Eslöv Plats: 55,8374959, 13,3036265

