Kod;Namn;Kommun;Län;Folkmängd;Area;Land;Sjö1;Sjö2;Hav;Täthet;DD Latitude;DD Longitude;Country
180;Stockholm;Stockholms kommun;Stockholms län;952058;214,6;187,16;4,46;15,71;7,27;5086,87;59,3251172;18,0710935;Sweden
1480;Göteborg;Göteborgs kommun;Västra Götalands län;565496;1025,37;447,88;14,21;0;563,28;1262,61;57,7072326;11,9670171;Sweden
1280;Malmö;Malmö kommun;Skåne län;334987;332,29;156,6;1,76;0;173,93;2139,13;55,6052931;13,0001566;Sweden
380;Uppsala;Uppsala kommun;Uppsala län;221141;2234,44;2182,41;40,76;11,27;0;101,33;59,8594126;17,64112;Sweden
580;Linköping;Linköpings kommun;Östergötlands län;158953;1568,57;1427,72;140,85;0;0;111,33;58,4098135;15,6245252;Sweden
1880;Örebro;Örebro kommun;Örebro län;150949;1620,59;1373,02;50,6;196,97;0;109,94;59,2747378;15,2149988;Sweden
1980;Västerås;Västerås kommun;Västmanlands län;150564;1137,82;958,83;4,18;174,81;0;157,03;59,6110992;16,5463679;Sweden
1283;Helsingborg;Helsingborgs kommun;Skåne län;143671;423,92;343,89;1,43;0;78,6;417,78;56,0441984;12,7040684;Sweden
581;Norrköping;Norrköpings kommun;Östergötlands län;140991;2047,69;1495,62;108,99;0;443,08;94,27;58,5909124;16,1903511;Sweden
680;Jönköping;Jönköpings kommun;Jönköpings län;137863;1925,01;1480,21;73,54;371,26;0;93,14;57,7814709;14,1627579;Sweden
2480;Umeå;Umeå kommun;Västerbottens län;125434;5213,39;2317,12;80,49;0;2815,78;54,13;63,8256568;20,2630745;Sweden
1281;Lund;Lunds kommun;Skåne län;121893;439,91;427,07;12,84;0;0;285,42;55,7029296;13,1929449;Sweden
1490;Borås;Borås kommun;Västra Götalands län;111354;967,53;909,88;57,65;0;0;122,38;57,7210839;12,9407407;Sweden
126;Huddinge;Huddinge kommun;Stockholms län;110335;140,67;131,03;8,66;0,98;0;842,06;59,2293827;17,9748815;Sweden
484;Eskilstuna;Eskilstuna kommun;Södermanlands län;105014;1250,49;1099,89;22,97;127,63;0;95,48;59,3717379;16,5051474;Sweden
182;Nacka;Nacka kommun;Stockholms län;101697;128,83;95,12;4,13;0;29,58;1069,14;59,3099477;18,1677049;Sweden
2180;Gävle;Gävle kommun;Gävleborgs län;100825;3200,26;1613,84;169,15;0;1417,27;62,48;60,6750132;17,1467019;Sweden
1380;Halmstad;Halmstads kommun;Hallands län;99932;1699,89;1013,97;16,98;0;668,94;98,56;56,6739826;12,8574827;Sweden
2281;Sundsvall;Sundsvalls kommun;Västernorrlands län;98837;4444,53;3189,71;262,58;0;992,24;30,99;62,3907552;17,3071024;Sweden
181;Södertälje;Södertälje kommun;Stockholms län;96254;694,24;524,86;33,27;52,43;83,68;183,39;59,1964289;17,6271663;Sweden
127;Botkyrka;Botkyrka kommun;Stockholms län;92097;222,29;194,15;10,74;4,67;12,73;474,36;59,2034494;17,8545982;Sweden
1780;Karlstad;Karlstads kommun;Värmlands län;91374;1517,74;1168,66;73,89;275,19;0;78,19;59,3799132;13,502948;Sweden
780;Växjö;Växjö kommun;Kronobergs län;91251;1914,29;1665,49;248,8;0;0;54,79;56,8787183;14,8094385;Sweden
136;Haninge;Haninge kommun;Stockholms län;88431;2160,87;457,85;6,52;0;1696,5;193,14;59,049722;18,266667;Sweden
1290;Kristianstad;Kristianstads kommun;Skåne län;84211;1818,25;1245,22;94,13;0;478,9;67,63;56,0293778;14,1566859;Sweden
1384;Kungsbacka;Kungsbacka kommun;Hallands län;82382;1472,94;606,6;35,17;0;831,17;135,81;57,4888563;12,0787529;Sweden
184;Solna;Solna kommun;Stockholms län;80035;21,66;19,29;0,19;0,53;1,65;4149,04;59,361367;18,0013693;Sweden
2580;Luleå;Luleå kommun;Norrbottens län;77482;4947,2;2087,79;148,13;0;2711,28;37,11;65,5831352;22,1460134;Sweden
123;Järfälla;Järfälla kommun;Stockholms län;76990;63,03;53,79;1,11;8,13;0;1431,31;59,4204736;17,8285472;Sweden
2482;Skellefteå;Skellefteå kommun;Västerbottens län;72725;9957,21;6800,56;373,73;0;2782,92;10,69;64,7520185;20,959339;Sweden
163;Sollentuna;Sollentuna kommun;Stockholms län;71870;57,97;52,62;3,21;0;2,14;1365,83;59,4293164;17,9500556;Sweden
160;Täby;Täby kommun;Stockholms län;70651;71,22;60,69;5,34;0;5,19;1164,13;59,43674;18,05614;Sweden
880;Kalmar;Kalmar kommun;Kalmar län;67528;1250,96;956,62;3,96;0;290,38;70,59;56,6628826;16,3662382;Sweden
1481;Mölndal;Mölndals kommun;Västra Götalands län;66733;152,28;145,84;6,44;0;0;457,58;57,6564918;12,0153085;Sweden
1080;Karlskrona;Karlskrona kommun;Blekinge län;66623;3338,05;1042,05;27,6;0;2268,4;63,93;56,1621073;15,5866422;Sweden
1383;Varberg;Varbergs kommun;Hallands län;62928;1703,36;868,62;41,03;0;793,71;72,45;57,1057412;12,2502949;Sweden
2380;Östersund;Östersunds kommun;Jämtlands län;62745;2501,09;2208,29;292,8;0;0;28,41;63,1793655;14,6357061;Sweden
188;Norrtälje;Norrtälje kommun;Stockholms län;61057;5869,25;2015,35;98,63;0;3755,27;30,3;59,7591735;18,7037476;Sweden
980;Gotland;Gotlands kommun;Gotlands län;58659;15241,07;3134,98;31,77;0;12074,32;18,71;57,4998732;18,4998927;Sweden
2080;Falun;Falu kommun;Dalarnas län;58460;2275,22;2040,27;234,95;0;0;28,65;60,6070068;15,6323059;Sweden
1488;Trollhättan;Trollhättans kommun;Västra Götalands län;58389;427,71;409,86;17,85;0;0;142,46;58,2827931;12,2908612;Sweden
2284;Örnsköldsvik;Örnsköldsviks kommun;Västernorrlands län;56162;8428,99;6376,05;363,09;0;1689,85;8,81;63,2888613;18,7160209;Sweden
1485;;Uddevalla kommun;Västra Götalands län;55877;733,03;637,66;12,65;0;82,72;87,63;;;Sweden
480;;Nyköpings kommun;Södermanlands län;55552;2066,41;1420,46;133,93;0;512,02;39,11;;;Sweden
1496;;Skövde kommun;Västra Götalands län;55200;685,08;673,68;11,4;0;0;81,94;;;Sweden
2081;;Borlänge kommun;Dalarnas län;52034;635,82;583,92;51,9;0;0;89,11;;;Sweden
1293;;Hässleholms kommun;Skåne län;52023;1306,39;1268,97;37,42;0;0;41;;;Sweden
183;;Sundbybergs kommun;Stockholms län;49598;8,79;8,69;0,06;0,04;0;5707,48;;;Sweden
138;;Tyresö kommun;Stockholms län;47518;100,53;69,23;3,39;0;27,91;686,38;;;Sweden
191;;Sigtuna kommun;Stockholms län;47481;350,26;327,66;4,41;18,19;0;144,91;;;Sweden
186;;Lidingö kommun;Stockholms län;47239;51,05;30,8;0,38;0;19,87;1533,73;;;Sweden
1282;;Landskrona kommun;Skåne län;45427;300,65;140,26;0,76;0;159,63;323,88;;;Sweden
114;;Upplands Väsby kommun;Stockholms län;44788;83,82;75,01;4,84;3,97;0;597,09;;;Sweden
1287;;Trelleborgs kommun;Skåne län;44645;1175,01;339,8;2,38;0;832,83;131,39;;;Sweden
1482;;Kungälvs kommun;Västra Götalands län;44312;682,43;362,45;8,38;0;311,6;122,26;;;Sweden
1382;;Falkenbergs kommun;Hallands län;44300;1825,72;1108,53;47,81;0;669,38;39,96;;;Sweden
117;;Österåkers kommun;Stockholms län;44261;554,45;312,37;10,9;0;231,18;141,69;;;Sweden
381;;Enköpings kommun;Uppsala län;43879;1323,82;1178,35;4,64;140,83;0;37,24;;;Sweden
120;;Värmdö kommun;Stockholms län;43666;2980,12;448,12;8,46;0;2523,54;97,44;;;Sweden
583;;Motala kommun;Östergötlands län;43549;1266,75;982,99;68,54;215,22;0;44,3;;;Sweden
2581;;Piteå kommun;Norrbottens län;42111;4680,53;3086,04;149,04;0;1445,45;13,65;;;Sweden
1292;;Ängelholms kommun;Skåne län;41857;477,91;419,87;11,29;0;46,75;99,69;;;Sweden
1441;;Lerums kommun;Västra Götalands län;41660;308,41;258,55;49,86;0;0;161,13;;;Sweden
1489;Alingsås;Alingsås;Västra Götalands län;40566;551,16;472;79,16;0;0;85,94;57,9998496;12,500037;Sweden
1494;;Lidköpings kommun;Västra Götalands län;39533;1372,6;698,63;2,68;671,29;0;56,59;;;Sweden
1487;;Vänersborgs kommun;Västra Götalands län;39236;898,83;642,6;23,02;233,21;0;61,06;;;Sweden
2181;;Sandvikens kommun;Gävleborgs län;39175;1296,64;1165,78;130,86;0;0;33,6;;;Sweden
1402;;Partille kommun;Västra Götalands län;37931;58,41;56,8;1,61;0;0;667,8;;;Sweden
1401;;Härryda kommun;Västra Götalands län;37430;291,66;266,7;24,96;0;0;140,34;;;Sweden
2184;;Hudiksvalls kommun;Gävleborgs län;37413;4516,62;2489,05;255,65;0;1771,92;15,03;;;Sweden
883;;Västerviks kommun;Kalmar län;36546;3596,78;1874,47;152,45;0;1569,86;19,5;;;Sweden
1233;;Vellinge kommun;Skåne län;35904;705,46;142,66;1,19;0;561,61;251,68;;;Sweden
486;;Strängnäs kommun;Södermanlands län;35195;975,09;739,42;15,27;220,4;0;47,6;;;Sweden
1463;;Marks kommun;Västra Götalands län;34502;1013,2;929,2;84;0;0;37,13;;;Sweden
683;;Värnamo kommun;Jönköpings län;34249;1382,43;1215,82;166,61;0;0;28,17;;;Sweden
483;;Katrineholms kommun;Södermanlands län;34195;1189,54;1020,16;94,07;75,31;0;33,52;;;Sweden
1285;;Eslövs kommun;Skåne län;33359;424,68;419,02;5,66;0;0;79,61;;;Sweden
115;;Vallentuna kommun;Stockholms län;33274;368,45;357,74;10,71;0;0;93,01;;;Sweden
1499;;Falköpings kommun;Västra Götalands län;33075;1065,77;1044,88;20,89;0;0;31,65;;;Sweden
162;;Danderyds kommun;Stockholms län;32884;32,67;26,4;0,15;0;6,12;1245,61;;;Sweden
1082;;Karlshamns kommun;Blekinge län;32229;832,43;488,68;19,92;0;323,83;65,95;;;Sweden
682;;Nässjö kommun;Jönköpings län;31273;988,5;930,22;58,28;0;0;33,62;;;Sweden
1261;;Kävlinge kommun;Skåne län;31046;292,45;152,54;1,09;0;138,82;203,53;;;Sweden
1440;Ale;Ale;Västra Götalands län;30399;332,13;317,01;15,12;0;0;95,89;58;12,283333;Sweden
1883;;Karlskoga kommun;Örebro län;30386;510,36;468,24;42,12;0;0;64,89;;;Sweden
1286;;Ystads kommun;Skåne län;29903;1189,32;350;5,04;0;834,28;85,44;;;Sweden
662;;Gislaveds kommun;Jönköpings län;29676;1220,72;1137,07;83,65;0;0;26,1;;;Sweden
1081;;Ronneby kommun;Blekinge län;29621;1241,84;825,29;36,54;0;380,01;35,89;;;Sweden
781;;Ljungby kommun;Kronobergs län;28353;1995,13;1747,88;247,25;0;0;16,22;;;Sweden
2582;;Bodens kommun;Norrbottens län;28184;4291,66;4014,18;277,48;0;0;7,02;;;Sweden
192;;Nynäshamns kommun;Stockholms län;28137;1300,84;358,75;6,76;0;935,33;78,43;;;Sweden
139;;Upplands-Bro kommun;Stockholms län;28131;325,23;235,29;6,82;83,12;0;119,56;;;Sweden
125;;Ekerö kommun;Stockholms län;27938;384,53;217,46;1,16;165,91;0;128,47;;;Sweden
685;;Vetlanda kommun;Jönköpings län;27461;1600,42;1500,35;100,07;0;0;18,3;;;Sweden
586;;Mjölby kommun;Östergötlands län;27107;557,29;546,91;10,38;0;0;49,56;;;Sweden
2085;;Ludvika kommun;Dalarnas län;27005;1647,81;1490,37;157,44;0;0;18,12;;;Sweden
2183;;Bollnäs kommun;Gävleborgs län;27001;1976,64;1814,04;162,6;0;0;14,88;;;Sweden
882;;Oskarshamns kommun;Kalmar län;26929;2277,4;1046,66;48,31;0;1182,43;25,73;;;Sweden
1415;;Stenungsunds kommun;Västra Götalands län;26325;301,1;251,87;14,02;0;35,21;104,52;;;Sweden
1284;;Höganäs kommun;Skåne län;26244;676,13;143,5;0,38;0;532,25;182,89;;;Sweden
1983;;Köpings kommun;Västmanlands län;26122;644,48;604,27;26,26;13,95;0;43,23;;;Sweden
1784;Arvika;Arvika kommun;Värmlands län;26063;1956,13;1649,03;307,1;0;0;15,81;59,6543555;12,5916225;Sweden
2182;;Söderhamns kommun;Gävleborgs län;25698;2281,34;1060,85;110,98;0;1109,51;24,22;;;Sweden
2280;;Härnösands kommun;Västernorrlands län;25227;1938,64;1058,38;42,64;0;837,62;23,84;;;Sweden
1381;;Laholms kommun;Hallands län;25211;963,39;882,8;19,34;0;61,25;28,56;;;Sweden
1781;;Kristinehamns kommun;Värmlands län;24551;1384,43;755,2;40,66;588,57;0;32,51;;;Sweden
1493;;Mariestads kommun;Västra Götalands län;24345;1503,24;602,47;10,93;889,84;0;40,41;;;Sweden
